id;basket_state;expected_delivery_time;delivery_address
1;VALIDATED;2020-04-22T15:39:29;Borders Ergonomic plum
2;NOTFINISHED;2020-04-22T18:41:06;Czech Koruna
3;NOTFINISHED;2020-04-22T03:24:32;paradigms firewall
4;VALIDATED;2020-04-22T10:31:57;Cayman Islands Dollar
5;PAID;2020-04-22T08:03:49;Som Streamlined
6;PAID;2020-04-22T17:52:02;functionalities Ergonomic Concrete Sausages Stand-alone
7;PAID;2020-04-21T22:59:20;calculating Representative
8;PAID;2020-04-21T19:03:29;uniform Georgia
9;PAID;2020-04-22T11:24:24;Incredible
10;VALIDATED;2020-04-22T01:59:13;Global calculate Health
